event_name,event_date,event_time,event_location,event_description,hosted_by,price,event_url
TechWalk (SF),Mon Oct 6,8:30 am,Golden Gate Park,"​​​We're building a different sort of networking event for members of the Tech and SaaS communities to get outside, meet new people, and enjoy some fresh air while helping to restore a healthy balance to the day. Expect to meet founders, investors, operators, and industry experts immersed in the SF Tech, SaaS and Startup ecosystem, who value unique moments for meaningful IRL connections. ​​​How does it work? Grab some comfortable foot gear, weather-appropriate clothes, and your beverage of choice as you join fellow walk participants for a one-hour loop in the park. Your walk guides will help facilitate walking partner swaps and offer conversation starters, but we can almost guarantee a very ""natural"" flow of discussion. See what we did there? :) ​​​This is a chance to network, share ideas, and build relationships in a healthy and refreshing addition to a busy schedule of panels, roundtables, and happy hours. Your body and your brain will thank you! ​Welcome to the TechWalk community. Every journey begins with a first step, and we’re genuinely delighted to get acquainted. By registering for TechWalk events, you consent to the use of your name, likeness, any photographs taken during the event, and any details provided for our event information, marketing, and promotional purposes, by TechWalk and our partners. We’re thrilled to have you with us. This event is a part of #TechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",TechWalk,,https://partiful.com/e/jjG6vaGfigpm3NZvFzoD
Pitch and Run SF,Wed Oct 8,5:30 pm,Embarcadero,"PitchAndRunSF hosts our epic Wednesday evening run as part of SF #TechWeek - a week of events hosted by VCs and startups to bring together the tech ecosystem. Join us: ​🗓️ 10/8 ⏰ 5:30 PM 📍 Ferry Building Market St. entrance under the Clock Tower 💨 5:30 PM/5:45 PM we take off, running 5 easy miles along the Embarcadero, all paces and face welcomed ☕ Ferry Building return for convo & cafecito at Blue Bottle ​Expect a large group, so please arrive at 5:20 PM or earlier. We go around the circle and introduce ourselves: 🙋 name #️⃣ how many P&Rs ✨ & something good that happened this week for which you're grateful ​​​Pitch and Run was founded in New York City in 2019 to make it easy for founders to connect with angels and VCs without the pressure of a pitch meeting, plus allow founders and startup employees to connect with each other. To date, more than 8 companies have raised their seed round from connections made at Pitch and Run NYC. More importantly, over 5+ years, Pitch and Run has built a community, supporting each other in all aspects of life. ​​​​​​We're looking forward to having you join us, Let's RUN! ​​~ Viviana Hurtado, (IG & LinkedIn) Pitch and Run SF chapter lead 📈🚀 Twitter: @pitchandrunsf IG: @pitchandrunsf #PitchAndRunSF #startups #founders #angels #investors #ai #tech #running #sf This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/a3x4641WvnzKfCwDr7KP
Women in AI: Innovating to Solve Real-World Challenges,Wed Oct 8,5:00 pm,Chinatown,"Join Chief -the most powerful community of women leaders- for an inspiring panel conversation spotlighting the groundbreaking contributions of women leaders in the AI space—each transforming industries and communities through purposeful innovation. Hear from leaders across diverse backgrounds as they share how they’re applying AI to address complex challenges, create lasting impact, and open doors for new possibilities. From navigating career transitions to advancing climate solutions, shaping ethical AI governance to expanding access to education, our panelists are tackling the issues that matter most. Together, we’ll explore what it takes to break barriers, build responsibly, and lead with vision in one of the most rapidly evolving fields of our time. Following the panel, continue the conversation at an informal networking reception with peers and changemakers across the Tech Week community. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/nrKFfVZdNXUUgTqqxbzR
AI Founders & Investors Summit,Sat Oct 11,1:00 pm,SOMA,"Join us for the B.E.L.L.E AI Founders & Investors Summit, an immersive, high-energy experience bringing together AI startup founders and the investors shaping the future of technology. As part of SF Tech Week, this summit is designed for real connection — no gatekeeping, no fluff. Just bold builders, active funders, and deep opportunities for collaboration. ⸻ What to Expect 👥 600+ attendeesEarly-stage founders, venture investors, and industry operators 🎤 Interactive Panels-Featuring top VCs, AI founders, and product leaders 🚀 30+ Live Startup Pitches-High-energy, high-potential founders pitching to real investors 🧠 AI Demo Booths-Showcasing cutting-edge products and prototypes 🤝 Curated Networking & Live Matching-Real-time founder-investor connections, warm intros, and deal flow 🏆 Awards Ceremony-Honoring startup excellence and visionary leadership ⸻ 🎯 Pitch Your Startup Submit your pitch for a chance to present live to VCs and judges. 📩 Apply here: https://forms.gle/JDiJMnQcPdTrjbQC6 🗓 Deadline: October 3rd ⸻ 📢 Become a Sponsor or Host an Exhibit Booth Co-create something meaningful and amplify your brand with our community. Apply here: https://forms.gle/WGYK6BNKa3X6s6eb9 ⸻ 🗓 Full-Day Agenda 13:00 – 14:00 Arrival & Check-in + Booth Exploration Settle in, grab your badge, meet fellow builders and investors, and explore early-stage AI demos. 14:00 – 15:30 Super Panel: Fund x Build x Scale Tactical insights from investors, founders, and operators shaping the future of AI and venture. 15:30 – 18:00 Startup Pitch Arena Founders pitch live to investors and judges. Each founder gets 3 minutes to pitch and 2 minutes of live feedback. Fast. Focused. Fundable. 18:00 – 20:00 Networking Dinner + Booth Showcase Enjoy dinner while diving deeper into startup demos, connecting with fellow attendees, and forming real relationships. 20:00 – 20:30 Awards Ceremony Celebrating community excellence: – Startup Pitch Award – The B.E.L.L.E Award 20:30 – Late After-Party & Founder Talent Showcase Drinks, music, and performances by founders. From jazz to stand-up, storytelling to guitar solos — the stage is theirs. ⸻ This event is a part of #SFTechWeek — a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com",,,https://partiful.com/e/wvFWOd91geDeO4bpONA4?f=1
Global Founders Happy Hour,Fri Oct 10,5:00 pm,SOMA,,,,#
3D Happy Hour,Wed Oct 8,4:00 pm,SOMA,"Come join 3D animators, riggers, technical animators, animation engineers and anyone else touching the 3D animation pipeline for a chance to meet peers and chat about our industry. Enjoy cocktails, mocktails, and beer in a casual environment with others building like you. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/fVLnHEmQd0bJgYs9xuFu
Founders & Investors Tea Tasting,Wed Oct 8,3:00 pm,Embarcadero,"Enjoy 4 curated Asian-inspired tea blends as you connect with LPs, VCs, Angels and Founders. Meet others in a stress-free zone, and slow down from the buzz of everything that's going on in tech week. This event is organised by UpsideDown VC, Root Tea and Assenteo. Root Tea is an East-Asian inspired tea brand connected in community, connection, and culture. Learn more at 
http://instagram.com/drinkroottea. Assenteo is your day one, data compliance partner to get AI and restricted data startups enterprise ready. Learn more at https://www.assenteo.com/ This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,Free,https://partiful.com/e/tQO4rz33bHGbNS42hEwJ
Transatlantic Tech: A new Era of UK-US Partnership,Wed Oct 8,4:30 pm,FiDi (SF),"Join us for Transatlantic Tech: A New Era of Partnership, a dynamic event spotlighting the growing UK-US tech collaboration. This event will explore how the San Francisco tech community can engage with the UK’s thriving innovation ecosystem, leveraging new opportunities for investment, research, and collaboration. Discover why the UK remains a world-class destination for cutting-edge technology, underpinned by a robust research base and a forward-looking digital economy. Whether you're a startup, investor, or academic, this event offers a gateway to transatlantic growth and partnership. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/XgVCEzXAAeprzWKNHTZv
a16z Women In Infra Mixer,Wed Oct 8,5:00 pm,FiDi (SF),"a16z Infra ""Women in AI"" Happy Hour hosted at Convex Join us for an evening of connection and conversation at the a16z Women in AI, a casual mixer bringing together founders, builders, researchers, and product leaders shaping the future of infrastructure. We’ll gather an incredible community of women and allies from across the ecosystem, including teams at SSI, Anthropic, OpenAI, Goodfire, and many others. This is a chance to meet peers building at the cutting edge of AI, infra, and security, share ideas, and spark new collaborations. This event is part of #SFTechWeek, a city-wide series of events hosted by VCs and startups to bring together the tech community. Learn more at www.tech-week.com. 📍 Convex Convex is the open source, reactive database where queries are TypeScript code running right in the database. Just like React components react to state changes, Convex queries react to database changes. Convex provides a database, a place to write your server functions, and client libraries. It makes it easy to build and scale dynamic live-updating apps.",D,,https://partiful.com/e/reFKgUjpBB9GDjynuAjL
Inception AI Buildathon,Tue Oct 7,9:00 am,SOMA,"🚀 Inception AI Buildathon at SF Tech Week 2025 ​The Ultimate AI Builder Event at SF Tech Week ​October 7-9 , 2025 | SF, California ​Calling All Top AI Builders ​Join the most exclusive AI buildathon as part of SF Tech Week 2025, where 50,000+ entrepreneurs, investors, and industry leaders gather to attend tech's largest decentralized conference worldwide. ​This isn't just another hackathon—it's your launchpad into global AI startup success. ​🌟 Why This Event Changes Everything ​🎯 Elite Scale & Quality -​Handpicked cohort of 45 world-class AI founders and builders -Participation at SF's largest startup unconference (50,000+ attendees) ​💰 Unprecedented Exposure - ​Pitch on stage in downtown SF - Connect with 100+ VC partners and global investors - ​Be featured in SF most influential startup ecosystem ​🏆 Real Impact & Opportunities - ​Winners receive funding discussions and partnership opportunities ​- Direct connection to SF's top AI companies and investors ​- Pathway to US market entry for international builders ​🎯 Who Should Apply - ​AI Engineers & Researchers ​- Experience with LLMs, AI agents, and cutting-edge AI development ​- Ready to build something that scales globally ​- Startup Founders & Technical Leaders ​- Proven track record in building and scaling technology products - ​Vision for AI-native solutions that solve real-world problems - ​Domain Experts & Innovators - ​Deep expertise in industries ripe for AI transformation ​- Passion for applying AI to create meaningful impact ​📅 3-Day Journey to AI Startup Success ​Day 1 (October 7): Team Formation & Ideation - Connect with fellow elite builders ​- Form teams around real world challenges ​- Access to mentorship from industry leaders ​Day 2 (October 8): Intensive Building - 72 hours of focused development - Expert advisors and technical support - Real-time feedback from investors and industry experts ​Day 3 (October 9): Main Stage Showcase - Present on the main stage to hundreds of attendees - Pitch to SF's top AI investors and corporate leaders - Winner announced, and prizes! ​🏅 What Winners Receive ​🎤 Main stage presentation in downtown SF 💰 Direct investor introductions and funding opportunities 🤝 Partnership discussions with corporate partners 🌏 GTM expansion support through Inception Studio network ☁️ Significant cloud credits and technical resources ​🌟 Past Success Stories ​Following the success of Inception Studio buildathons at HumanX Las Vegas and IVS Japan, where teams built and pitched their solutions solving real world challenges. ​""The energy in the room was really palpable, having all these awesome builders around just really motivating for us and the team."" - HumanX Buildathon Participant ​🚀 Ready to Build the Future? ​This is more than a buildathon—it's your gateway to SF's AI market and connection to the US AI ecosystem. ​Limited to 45 exceptional builders. Applications close September 19th. ​The next unicorn AI company could start here. Will it be yours? ​Apply now and join the most elite AI builders in SF for 72 hours that could change your career forever. ​Organized by Inception Studio This event is a testament to our commitment to nurturing the next generation of AI companies. Participants will have the opportunity to collaborate on cutting-edge AI projects and contribute to the development of scalable, globally impactful AI products. About Inception Studio Inception Studio is a non-profit accelerator that organizes intense weekend retreats for AI's most exceptional entrepreneurs and builders. Since launching in November 2022, we've had 17 cohorts that have yielded 40 companies that have raised over $152M from top investors. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,$152,https://partiful.com/e/BouoBZg48NZhD147wRvv
AI x Nails: AI-Powered Nail Desingn & Salon Tech,Mon Oct 6,5:30 pm,SOMA,"A chill happy hour for beauty + tech people Pull up for a laid-back evening exploring how AI is transforming the way we search, discover, and experience nail services. From smarter ways to find the right design or artist to tech that’s streamlining salon bookings, we’re diving into the future of beauty discovery, over drinks, of course. No panels, no pressure, just cool people, cool tech, and maybe a surprise or two 💅🏽✨ This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/51JQSzE8rY21lTu6ZHUE
Creators Unplugged,Fri Oct 10,5:00 pm,,"Join us for Creators Unplugged, part of SF Tech Week, an evening that brings together creators, founders, and investors at the intersection of culture and technology. The creator economy is no longer just about content — it’s about building companies, shaping consumer behavior, and redefining how ideas scale. At Creators Unplugged, we’ll explore the forces driving this shift through dynamic on-stage conversations and plenty of opportunities to connect with fellow builders, operators, and visionaries. What to expect: • Fast-paced discussions with creators, entrepreneurs, and industry leaders about how the creator economy is evolving • Networking mixer with a curated group of creators, founders, investors, and partners • Energy of Tech Week, set in the heart of San Francisco at Persona HQ This is a chance to connect with the people driving the next wave of innovation in media, tech, and the creator economy — and to be part of the community that’s shaping what comes next. We’ll be announcing our full lineup of speakers and content soon. HOSTS AND SPONSORS Bay Area Creator Economy The Bay Area Creator Economy is a new community organization designed to serve the creators and creator economy industry professionals who reside in the San Francisco Bay Area and anyone else that is interested in connecting with this community. Hypetribe HypeTribe is a venture studio where creative visionaries turn ideas into movement. ​Persona Persona is an online identity verification platform that enables businesses of all sizes to collect, verify, and manage user identities throughout the customer lifecycle. Trusted in over 200 countries and territories. Starting at $0 for Startups. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,$0,https://partiful.com/e/tsneCAGjBxGkPjccO1X3
Women In AI - Networking Hour,Thu Oct 9,4:00 pm,SOMA,"Join us in SOMA for an evening of connection and conversation with women shaping the future of AI. This gathering will bring together female founders, executives, leaders & builders driving large-scale AI/ML initiatives — including voices from my own Stanford GSB network. As Head of AI Engineering at a FinTech startup, I’ve seen firsthand the challenges of scaling AI, and I’m excited to create a space where we can share real-world insights, swap stories, and learn from each other. Rather than a traditional speaker lineup, expect interactive discussions and peer sharing — a chance to connect directly with accomplished women across industries while building a supportive community for those navigating the opportunities and challenges of AI. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/syXRgJuJDKMsHNjQtS7V
Barry's Marina Private Class,Mon Oct 6,1:30 pm,,Join us in the Red Room for a 50 minute HIIT group workout brought to you by Barry's Marina. Stay for a quick networking moment as we provide refreshments and small bites to keep you fueled for #SFTechWeek This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.,Barry's Marina,,https://partiful.com/e/5kbxNY0dxFZ5wES1zdDc
Immigrant Friendly Job Fair,Sun Oct 12,10:00 am,SOMA,,,,https://partiful.com/e/ejhvo6plRh2es1DAsHOu
Law Meets Code: AI Rules That Could Shape Your Startup,Mon Oct 6,4:00 pm,,"AI development is moving fast—and so is the policy landscape shaping it. For founders, CEOs, and operators, navigating these shifts is critical to scaling responsibly and staying ahead. Join a16z, Databricks, and Fenwick for a conversation on the most pressing legal and regulatory issues facing high-growth startups, including federal and state proposals on model development, liability, transparency, copyright, and energy and data center policies. This session will help leaders understand what’s coming and how to prepare today for tomorrow’s rules. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/BSa6N2I7XZ9zTInxHS3g
AI-at-Scale Mixer: From Build to Breakout,Mon Oct 6,6:30 pm,FiDi (SF),"From build to breakout—this is where founders exchange real stories about scaling AI companies. Join us at Fusion Fund x KBTG’s AI-at-Scale Mixer, an evening of networking + sharp insights on how to go from building core tech to breaking out with a GTM strategy that sticks. 🌟 Panel & Networking The event will feature a panel moderated by Lu Zhang, Founder & Managing Partner of Fusion Fund. This panel brings together three powerhouse AI founders from our portfolio: Tengyu Ma (Voyage AI) – recently acquired in 2025 by MongoDB, pushing the boundaries of AI infrastructure. Jiantao Jiao (Nexusflow) – successfully exited his company to a top AI technology corporation, scaling AI for enterprise adoption. Dr. Amr Awadallah (Vectara) – serial entrepreneur and veteran AI leader who sold his last company for $1B, currently driving innovation in search and knowledge systems. These founders will share their hard-won lessons on scaling teams, navigating GTM strategy, and seizing breakout opportunities in the rapidly evolving AI landscape. 🤝 Who Should Join Early-stage founders, operators, and builders who want practical insights on scaling their companies, sharpening GTM, and connecting with the AI community at SF Tech Week. ✨ Expect sharp conversations, actionable takeaways, and plenty of time to connect with fellow founders and investors. A huge shoutout to our co-host, KBTG Venture Capital Arm, and sponsors SVB and Trinet, for their unwavering support and dedication to fostering this special community. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,$1,https://partiful.com/e/KiCIcmKdv7k4uipsfSTe
Founder Mode Live! With Special Guests,Wed Oct 8,4:00 pm,SOMA,"Founder Mode Live: Tech Week Edition Join us for a live recording of Founder Mode, the podcast where Kevin Henrikson (ex-Microsoft, Instacart) and Jason Shafton (ex-Google, Headspace) cut through the noise on what actually works in startups. For Tech Week, we’re bringing the show to San Francisco with special guests — founders and investors who’ve lived the grind, seen the hype, and know what it takes to scale. Expect: 🎙️ A live, unfiltered conversation on growth, fundraising, and building companies that last 🤝 An intimate happy-hour setting with fellow founders and investors 🍸 Drinks, networking, and candid insights you won’t find on stage anywhere else Capacity is limited. RSVP early to secure your spot. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",Kevin & Jason,,https://partiful.com/e/9x0s24wicd2LbWi7OFpE
Low-Latency Club AI Meetup,Tue Oct 7,7:00 pm,Downtown (SF),"Join the Low Latency Club for another hands-on Voice AI meetup. We’ll dive into building real-time conversational AI agents using the Telnyx AI stack—covering live demos, best practices, and community discussion. Whether you’re a developer, founder, or AI enthusiast, this is your chance to: Experiment with our Voice AI Agent Builder. Connect with peers pushing the boundaries of real-time AI. Learn how low latency infrastructure powers next-gen voice experiences. Snacks and drinks provided. Bring your laptop if you’d like to follow along with the demo. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/jht6V6eW8MY6Zygypb88
Launch & Scale Your Fractional Business,Thu Oct 9,5:00 pm,Mission,"If you've been toying with the idea of going solo or already made the leap, but are stuck on how to scale your fractional, consulting, or freelance business, this panel is for you. Join a fractional, a consultant, and the founder of a platform connecting self-starters to jobs and resources for a lively talk on how to build a business on your own terms and what it takes to be successful and sustainable. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/p1xYBsTVIe6orJ7egqOU
Is AI the New Referee? with The Information & IBM,Wed Oct 8,5:30 pm,SOMA,"Is AI the New Referee? - Join The Information and IBM for a cocktail reception and discussion on How AI is Reshaping Sports and its Fans. From player performance and coaching tactics to media viewing and spectator engagement, AI is changing the game at every level. This session will explore the opportunities and challenges ahead as AI redefines the future of sports on and off the field. Speakers to be announced soon. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com. IBM may take group photos or perform live streaming during the event for promotional purposes.",,,https://partiful.com/e/yD444jBFc7VjQuYYzfCd?
Urban Eco-Safari: B2B Sempre (Bay 2 Breakers Always),Fri Oct 10,Invite Only,Downtown (SF),,,,#
Cross-Border Ventures: Bridge to Silicon Valley,Wed Oct 8,6:00 pm,,"How do founders from India and other countries build trust and attract investment in Silicon Valley? And how can US VCs discover and support the best cross-border ventures early? ​This panel brings together venture capitalists, ecosystem builders, and cross-border founders to discuss the path-to-SF bridge: scaling products internationally, fundraising across markets, and navigating culture and capital. ​Who should attend: Founders expanding to the US, US investors exploring India and beyond, and ecosystem leaders looking to strengthen global startup ties. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/0xDbDZv9z4i42mJ3HgRW
Vega Presents: The Missed Connections Party of the Century,Fri Oct 10,7:00 pm,Embarcadero,"Magic is other people, and what's more magical than an evening of celebrating and rediscovering our missed connections! Please join us for an extraordinary evening of drinks, sending post cards, and celebrating the new and old relationships in our lives, Vega style :) Drinks on us — as long as you're on the waitlist at joinvega.com/the-waitlist :) Yours truly, Benjamin Lee & Madeline Park (joinvega.com founders) This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com",Benjamin & Madeline (Vega Founders),,https://partiful.com/e/nC819iVTzL0rnmbfQywK
AI for Finance,Thu Oct 9,Invite Only,,,,,#
Unlocking Our Quantum Future with IBM,Thu Oct 9,8:45 am,FiDi (SF),"iHeartMedia and IBM Present: A Live Conversation on Quantum Computing at SF #TechWeek Join Malcolm Gladwell and Jay Gambetta, IBM Fellow and Vice President of IBM Quantum as they dive into the transformative potential of quantum computing, from groundbreaking research to real-world applications and a growing ecosystem driving the future of technology. ​This discussion will be a live recording of the Smart Talks with IBM podcast series. Registration will open at 8:45AM, with the podcast recording beginning promptly at 9:30AM. A reception with coffee and light bites to follow. Seating is limited and subject to approval - request an invite ASAP! This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/aFK1vin7mHLy7iwFMCax
Happy Hour: AI Cashflow Scoring for SMB Lending,Mon Oct 6,4:00 pm,SOMA,"Join us for a happy hour bringing together leaders in credit, risk, and data science to explore how AI is reshaping cashflow underwriting. We’ll go beyond surface-level transaction enrichment and dive into how banks and lenders can unlock smarter business lending with AI-driven scoring, policy integration, and continuous monitoring. Expect candid discussion, networking with peers, and a relaxed setting to connect over the future of cash-flow credit. About Slope: Slope is defining a new category of credit and risk infrastructure, empowering platforms to embed seamless financial capabilities directly into their user experiences. Slope’s real-time underwriting technology enables instant, intelligent capital deployment, transforming how digital platforms deliver financial services to businesses of all sizes. Learn more at slopepay.com. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/bIaSa80pQFU4w2eV5CsH
Spatial Renaissance: Real Spaces to visual world,Thu Oct 9,7:00 pm,,"Create party invitations online for any event. Design custom invites in seconds, and send invites instantly with our free invitation maker!",,,https://partiful.com/e/B37jFN0PaP7EDG3SWedw
Ferry Building Drone Light Show by Gamma,Wed Oct 8,7:00 pm,,"Gamma (gamma.app) is lighting up SF Tech Week with something never done before: a dazzling drone show over the Bay, paired with a massive projection on the iconic Ferry Building 🚀 Join us as we celebrate San Francisco with the nation's first ever (!) large scale drone & projection show — and we're inviting YOU to be a part of it! Submit an idea that we will bring to life as part of the show (link coming soon) ✨ This event is a part of #SFTechWeek. a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/ed5Se9LRafNFIpBdUPTJ
Tech Bio Founder Showcase & Networking Breakfast,Wed Oct 8,8:00 am,,"Join us during SF Tech Week for an invite-only breakfast hosted by Phase Capital. We’re bringing together LPs, investors, and founders to explore the future being built at the intersection of biology, technology, and capital. The morning will feature networking and rapid-fire founder spotlights from Nashville, San Francisco, and beyond, plus space for high-value conversations and new connections. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/iRJUzqqpfSSB5IurzWoj
"AI, Infra, & the Future of Generative Media",Tue Oct 7,4:00 pm,SOMA,"Join us for: AI, Infrastructure, and the Future of Generative Media, a San Francisco Tech Week panel and reception hosted by HSBC Innovation Banking and a16z. Date: Tuesday, October 7 Time: 4:00pm - 6:00pm Location: SOMA, San Francisco, CA This exclusive reception will bring together leading VCs, founders, and senior executives for conversation and networking alongside a panel discussion on the state of AI Infrastructure and Generative Media, with Jennifer Li, GP at a16z, Gorkem Yurtseven, Co-Founder at Fal.ai, Adam Brown, Co-founder at Mux, moderated by Alex Choy, Managing Director at HSBC Innovation Banking. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/AH9DmLnRAMiHc5VzuWP6
Start and Grow in the United States as an immigrant,Mon Oct 6,2:30 pm,SOMA,"Unlock Your U.S. Tech Future: O-1 & EB-1 Visa Strategies for Developers & Founders A space created for founders who have already achieved great things, but know that the next level requires more: raising capital in new leagues, conquering global markets, and stepping out of their comfort zone. This event is an opportunity to gain clarity, build meaningful connections, and access the knowledge you need to scale your startup to the U.S. with a solid strategy—covering migration, finance, legal, accounting, networking, and more. 🧠 This event is for founders who want to: Have raised investment, achieved traction, or generated consistent revenue Have been accepted into accelerators or incubators. Are exploring international expansion (markets like Miami, Texas, New York, or Silicon Valley). Want to raise capital in the U.S., open operations, or migrate. Don’t want to improvise with their immigration status or compromise their company’s growth. 🗓️ Agenda 2:30 – 3:00 PM ☕ Registration, welcome, snacks & light bites, and intentional networking 3:00 – 4:30 PM 🧭 Panel Discussion: Are You Ready to Scale Your Startup to the U.S.? 🧠 Is this your moment? How to identify if your company is truly ready for U.S. expansion 🌎 Where to land: opportunities, differences, and challenges of setting up in Texas, New York, Miami, or Silicon Valley, depending on your industry, ambition, and lifestyle 🏛️ Regulations & industry: analysis of barriers, opportunities, and key strategies by sector ✈️ Smart immigration strategy (O-1, EB2-NIW, EB1 visas, and more): how to design a pathway aligned with your business and personal goals 🧰 Strategic tools & connections: Self-assessment instruments to analyze your company’s current stage, challenges, and opportunities Access to strategic contacts and resources to support your U.S. expansionA practical step-by-step e-book on how to establish your startup and relocate to the U.S. without losing focus Speakers: Adriana Soto Ospina CEO Maternal+ | VisaHub Entrepreneur, Psychologist, Occupational Therapist, MBA Distinguished EB2-NIW Visa Recipient through Self-Petition Learn more about our speaker: Adriana Soto Ospina: A Colombian entrepreneur in the field of digital business and telehealth, Adriana is the founder of Maternal+, a company dedicated to helping Latina women improve pregnancy and postpartum outcomes while reducing healthcare system costs. She is also the CEO of VisaHub. Adriana emigrated to the United States two years ago and successfully applied for and was approved for the EB2-NIW visa using the same business she started in Colombia—all without legal assistance from an attorney. In a short time, her company has gained recognition from investors across various industries in the U.S. It currently operates in Texas and California, establishing partnerships with both private and governmental entities in the U.S. Now, with VisaHub, she is committed to democratizing access to professional migration for Latinos in the U.S. at less than a third of the cost of hiring an attorney. Adriana’s EB2-NIW Visa Success Story: https://bit.ly/3Txpy9S This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/S32GySDQGfx1ipsO3O5M
a16z speedrun Demo Day (SR005),Tue Oct 7,9:00 am,SOMA,"The SR005 cohort is taking the stage for Demo Day in San Francisco during Tech Week! Doors open at 9:00 AM PT for check-in. Programming kicks off at 10:00 AM PT sharp with a few special guests, followed by founder pitches from 10:30 AM–1:00 PM PT. Afterward, we’ll break for lunch and open the demo hall where you can connect with the founders one on one. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",❛o❛,,https://partiful.com/e/cGNtH8rVcfosm1tLtMLS
Design Founder Takeover,Thu Oct 9,7:00 pm,,"Join us for an unfiltered panel discussion exploring what happens when designers take the lead and don’t wait for permission to build. Design Founder Takeover brings together a bold lineup of founders who started their careers in design and are now leveraging AI to build companies from the ground up. This conversation will dive deep into the unique vantage point of design-led founders: how their design intuition shapes product thinking, what it means to prototype with AI as your cofounder, and how they navigate building, scaling, and fundraising as non-technical founders in a tech-dominated space. Whether you're a designer dreaming of starting something, or just curious about what it looks like when creativity meets code, this is the panel you don’t want to miss. Who Should Attend: Designers, founders, builders, product thinkers, AI experimenters, and anyone curious about the evolving role of design in startup creation.",,,https://partiful.com/e/8p0mvFo5gX7vhJo7YYou
